epg_scores,bb_sizes
0.6440695,13908
0.96181804,46455
0.1505817,818
0.8106913,9240
0.73886776,5616
0.9568315,42705
0.0007158882,238
0.53620315,5610
0.8876684,18358
0.06725143,1482
0.18970352,2658
0.045893606,333
0.1397472,2068
0.29331574,3776
0.0008165256,40
0.01162268,399
0.0074736294,196
0.003531872,60
0.059304744,740
0.746033,18663
0.02239724,400
0.013229305,644
0.041706428,461
0.0058590476,203
0.27531883,1749
0.021705016,336
0.012799911,252
0.021844191,256
0.090445645,2145
0.8725578,11127
0.066032104,572
0.006843579,930
0.14052755,6458
0.610373,19986
0.018621793,781
0.057745453,1428
0.9689761,45492
0.7560335,38133
0.2554748,4517
0.8925199,33862
0.021167105,780
0.032562677,420
0.07346365,660
0.4915314,14118
0.1681381,4196
0.007868322,168
0.7824279,17762
0.528805,9071
0.051048674,331
0.025779177,486
0.005204619,92
0.3244089,4730
0.4400574,3450
0.562073,15707
0.72218037,32634
0.9969949,43931
0.7566957,23936
0.00069155334,63
0.020892302,285
0.10698367,1406
0.0988601,2622
0.24912214,504
0.96652824,34654
0.03795984,1080
0.94249856,35055
0.15145108,1679
0.028802924,348
0.009700056,96
0.026374765,527
0.347732,6112
0.0320876,243
0.12004064,2597
0.19825567,3993
0.06224338,136
0.30858302,7083
0.0010073296,56
0.009207221,61
0.20795147,1430
0.15908884,1039
0.21553095,684
0.16611072,600
0.6478265,24090
0.27890494,3139
0.93230015,34154
0.010438696,87
0.74048626,7505
0.016643945,4256
0.0013612498,375
0.9363868,42432
0.34879145,2250
0.16123536,10736
0.9448284,37241
0.18552347,918
0.8524211,7980
0.12714463,416
0.8468366,25125
0.27346945,3168
0.6965485,4650
0.99281853,42816
0.3088583,2268
0.652131,930
0.9883552,42432
0.5480982,1920
0.008431684,220
0.0050922204,65
0.1739803,2116
0.16602361,6794
0.049039662,1254
0.75081986,7075
0.00030961458,12
0.119233124,550
0.0122117195,119
0.9434257,12960
0.008071251,168
0.18383977,554
0.9055771,26456
0.14765988,2791
0.49289894,15507
0.0379127,498
0.961962,44302
0.00036977456,20
0.0063752243,72
0.009375715,112
0.6539986,7428
0.054393113,644
0.51295084,10481
0.5288976,1904
0.08811035,383
0.74550265,4386
0.0059603257,12
0.077560455,612
0.037350997,235
0.75892204,28944
0.96308255,47520
0.25487867,5070
0.30382824,4469
0.66044277,27940
0.20958254,6527
0.19297513,6313
0.9935241,43884
0.15211041,420
0.049384728,1517
0.16568787,2817
0.7828343,13580
0.5497126,7614
0.98417336,23188
0.042016782,443
0.016481394,351
0.76059085,17520
0.9121731,25972
0.08504339,1323
0.8895813,25071
0.08866902,672
0.16275226,1850
0.4526435,13176
0.016245408,156
0.9120312,30648
0.0392626,322
0.61890924,9900
0.6989131,21925
0.6535927,7452
0.021636197,272
0.020015683,190
0.011389479,588
0.69474584,19608
0.03631481,630
0.004782269,126
0.0052695856,130
0.009550366,273
0.075486064,2145
0.2532352,8848
0.009106618,280
0.08266445,999
0.8036344,26427
1.2366821e-06,117
0.0025599208,32
0.06629941,169
0.70996714,5652
0.020551816,614
0.12201252,1779
0.7199698,16790
0.9889818,43415
0.8612878,30124
0.13267487,2347
0.046252888,2232
0.88397634,20032
0.040973447,240
0.9628293,21993
0.58015287,8979
0.096925296,544
0.855003,27270
0.97998506,49729
0.9649749,46343
0.8516028,13908
0.31284168,3024
0.35678858,5427
0.5025622,11000
0.13501357,3401
0.03578828,252
0.44705653,5755
0.18397506,1640
0.3084412,7308
0.72158885,34119
0.19776464,1680
0.9894588,16536
0.729204,6457
0.31819215,2139
0.6358858,3078
0.20231462,2576
0.93946123,18415
0.006465752,35
0.030074734,336
