StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,"Informed consent ",Q1.1,Q1.2,Q1.3,Q1.4,Q1.5,Q2.1,Q2.2,Q2.3,Q2.4,Q2.5,Q3.1,Q3.2,Q3.3,Q3.4,Q3.5,Q4.1,Q4.2,Q4.3,Q4.4,Q4.5,Q5.1,Q5.2,Q5.3,Q5.4,Q5.5,Q6.1,Q6.2,Q6.3,Q6.4,Q6.5
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,"I understand the text presented above, and I ...",Is this a picture of a real or a toy car?,Which factor did predominantly inform your decision?,Now does the picture feature a real or a toy car?,Now which factor did predominantly inform your decision?,What aspects of the image led you to your decision?,Is this a picture of a real or a toy car?,Which factor did predominantly inform your decision?,Now does the picture feature a real or a toy car?,Now which factor did predominantly inform your decision?,What aspects of the image led you to your decision?,Is this a picture of a real or a toy car?,Which factor did predominantly inform your decision?,Now does the picture feature a real or a toy car?,Now which factor did predominantly inform your decision?,What aspects of the image led you to your decision?,Is this a picture of a real or a toy car?,Which factor did predominantly inform your decision?,Now does the picture feature a real or a toy car?,Now which factor did predominantly inform your decision?,What aspects of the image led you to your decision?,Is this a picture of a real or a toy car?,Which factor did predominantly inform your decision?,Now does the picture feature a real or a toy car?,Now which factor did predominantly inform your decision?,What aspects of the image led you to your decision?,Is this a picture of a real or a toy car?,Which factor did predominantly inform your decision?,Now does the picture feature a real or a toy car?,Now which factor did predominantly inform your decision?,What aspects of the image led you to your decision?
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID3""}","{""ImportId"":""QID5""}","{""ImportId"":""QID69""}","{""ImportId"":""QID72""}","{""ImportId"":""QID74""}","{""ImportId"":""QID7""}","{""ImportId"":""QID75""}","{""ImportId"":""QID76""}","{""ImportId"":""QID78""}","{""ImportId"":""QID80""}","{""ImportId"":""QID9""}","{""ImportId"":""QID81""}","{""ImportId"":""QID82""}","{""ImportId"":""QID94""}","{""ImportId"":""QID85""}","{""ImportId"":""QID86""}","{""ImportId"":""QID89""}","{""ImportId"":""QID90""}","{""ImportId"":""QID95""}","{""ImportId"":""QID92""}","{""ImportId"":""QID96""}","{""ImportId"":""QID98""}","{""ImportId"":""QID99""}","{""ImportId"":""QID101""}","{""ImportId"":""QID102""}","{""ImportId"":""QID103""}","{""ImportId"":""QID105""}","{""ImportId"":""QID106""}","{""ImportId"":""QID108""}","{""ImportId"":""QID109""}","{""ImportId"":""QID110""}"
2024-01-29 02:18:41,2024-01-29 02:18:54,Survey Preview,,100,13,True,2024-01-29 02:18:56,R_6m9v8rZxslmxp1I,,,,,52.36,4.8084,preview,EN,do NOT agree to participate in this study.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-01-29 08:08:25,2024-01-29 08:11:42,Survey Preview,,100,197,True,2024-01-29 08:11:43,R_7ONnPbYHK5Ewiaf,,,,,52.3824,4.8995,preview,EN,agree to participate in this study.,A real car,Surrounding (Environment around the car),A real car,Both equally,"Size in relation to other objects,Blurriness or sharpness of fore/background,Colour,Texture/reflections or graininess,Details on the (toy) car",A toy car,Both equally,A toy car,"If you selected unsure in previous question, choose this option",Size in relation to other objects,A real car,Both equally,A toy car,Both equally,Texture/reflections or graininess,A real car,Both equally,A toy car,Both equally,Texture/reflections or graininess,A real car,Object,A real car,Object,"Blurriness or sharpness of fore/background,Colour",A toy car,Object,A toy car,Surrounding (Environment around the car),Blurriness or sharpness of fore/background
2024-01-29 08:21:36,2024-01-29 08:26:21,IP Address,145.109.53.86,100,285,True,2024-01-29 08:26:21,R_2KqesXCkkLz9gV0,,,,,52.3824,4.8995,anonymous,EN,agree to participate in this study.,A real car,Both equally,A real car,Both equally,"Size in relation to other objects,Colour,Texture/reflections or graininess",A toy car,Object,A toy car,Object,"Size in relation to other objects,Colour,Details on the (toy) car,Context/environment in which the (toy) car can be seen",A toy car,Object,A toy car,Object,"Size in relation to other objects,Blurriness or sharpness of fore/background,Details on the (toy) car,Context/environment in which the (toy) car can be seen",A real car,Surrounding (Environment around the car),A real car,Both equally,"Size in relation to other objects,Colour,Context/environment in which the (toy) car can be seen",A real car,Object,A toy car,Both equally,"Size in relation to other objects,Details on the (toy) car,Context/environment in which the (toy) car can be seen",A real car,Object,A real car,Both equally,"Colour,Context/environment in which the (toy) car can be seen"
2024-01-29 08:13:26,2024-01-29 08:26:45,IP Address,145.109.25.164,100,798,True,2024-01-29 08:26:45,R_2xUYxYKfSe2gvgk,,,,,52.3824,4.8995,anonymous,EN,agree to participate in this study.,A real car,Surrounding (Environment around the car),A real car,Surrounding (Environment around the car),"Size in relation to other objects,Blurriness or sharpness of fore/background",A toy car,Object,A toy car,Both equally,"Size in relation to other objects,Blurriness or sharpness of fore/background,Details on the (toy) car,Context/environment in which the (toy) car can be seen",A toy car,Object,A toy car,Object,"Texture/reflections or graininess,Details on the (toy) car",I am unsure,Both equally,A toy car,Both equally,"Blurriness or sharpness of fore/background,Texture/reflections or graininess,Context/environment in which the (toy) car can be seen",A toy car,Object,A toy car,Surrounding (Environment around the car),Context/environment in which the (toy) car can be seen,A real car,Both equally,A real car,Both equally,"Details on the (toy) car,Context/environment in which the (toy) car can be seen"
2024-01-29 08:20:26,2024-01-29 08:26:59,IP Address,89.205.132.131,100,392,True,2024-01-29 08:26:59,R_2YnMQMelSOexxw0,,,,,52.3795,4.8777,anonymous,EN,agree to participate in this study.,A toy car,Object,A toy car,Surrounding (Environment around the car),"Size in relation to other objects,Texture/reflections or graininess",A toy car,Object,A toy car,Both equally,"Size in relation to other objects,Blurriness or sharpness of fore/background,Texture/reflections or graininess,Details on the (toy) car",A toy car,Object,A toy car,Both equally,"Blurriness or sharpness of fore/background,Texture/reflections or graininess,Details on the (toy) car",A toy car,Object,A toy car,Both equally,"Blurriness or sharpness of fore/background,Colour,Texture/reflections or graininess,Details on the (toy) car,Context/environment in which the (toy) car can be seen",A toy car,Object,A toy car,Both equally,"Size in relation to other objects,Blurriness or sharpness of fore/background,Texture/reflections or graininess,Details on the (toy) car,Context/environment in which the (toy) car can be seen",A toy car,Object,A toy car,Surrounding (Environment around the car),"Blurriness or sharpness of fore/background,Texture/reflections or graininess,Details on the (toy) car,Context/environment in which the (toy) car can be seen"
2024-01-29 08:21:35,2024-01-29 08:28:09,IP Address,145.109.28.222,100,393,True,2024-01-29 08:28:09,R_2K7IMPStOAEJy1r,,,,,52.3824,4.8995,anonymous,EN,agree to participate in this study.,A real car,Both equally,A real car,Both equally,"Size in relation to other objects,Texture/reflections or graininess",A toy car,Object,A toy car,Surrounding (Environment around the car),Size in relation to other objects,I am unsure,"If you selected unsure in previous question, choose this option",A toy car,Surrounding (Environment around the car),Context/environment in which the (toy) car can be seen,A real car,Surrounding (Environment around the car),A real car,Surrounding (Environment around the car),"Size in relation to other objects,Context/environment in which the (toy) car can be seen",A toy car,Object,A toy car,Both equally,Size in relation to other objects,A real car,Both equally,A real car,Both equally,"Size in relation to other objects,Texture/reflections or graininess"
2024-01-29 08:23:17,2024-01-29 08:28:55,IP Address,145.109.55.95,100,338,True,2024-01-29 08:28:56,R_3eIxJSutdbdSkI9,,,,,52.3824,4.8995,anonymous,EN,agree to participate in this study.,A real car,Surrounding (Environment around the car),A real car,Both equally,"Size in relation to other objects,Texture/reflections or graininess,Details on the (toy) car",A toy car,Object,A toy car,Both equally,"Size in relation to other objects,Blurriness or sharpness of fore/background,Details on the (toy) car",I am unsure,"If you selected unsure in previous question, choose this option",I am still unsure,"If you selected unsure in previous question, choose this option",Blurriness or sharpness of fore/background,A toy car,Object,A toy car,Object,"Colour,Details on the (toy) car",A toy car,Both equally,A toy car,Both equally,"Size in relation to other objects,Colour,Texture/reflections or graininess,Details on the (toy) car",A real car,Object,A real car,Both equally,"Size in relation to other objects,Blurriness or sharpness of fore/background,Context/environment in which the (toy) car can be seen"
2024-01-29 08:26:35,2024-01-29 08:29:51,IP Address,93.87.69.154,100,196,True,2024-01-29 08:29:52,R_2dtRE1UwZbadTzk,,,,,44.8046,20.4637,anonymous,EN,agree to participate in this study.,A real car,Surrounding (Environment around the car),A toy car,Object,"Size in relation to other objects,Context/environment in which the (toy) car can be seen",A toy car,Object,A toy car,Object,"Blurriness or sharpness of fore/background,Texture/reflections or graininess",A real car,Object,A real car,Object,Blurriness or sharpness of fore/background,A toy car,Object,A real car,Surrounding (Environment around the car),"Size in relation to other objects,Context/environment in which the (toy) car can be seen",A toy car,Object,A toy car,Both equally,"Size in relation to other objects,Blurriness or sharpness of fore/background,Details on the (toy) car,Context/environment in which the (toy) car can be seen",A real car,Surrounding (Environment around the car),A real car,Both equally,"Size in relation to other objects,Blurriness or sharpness of fore/background,Context/environment in which the (toy) car can be seen"
2024-01-29 08:25:51,2024-01-29 08:29:58,IP Address,88.71.78.18,100,246,True,2024-01-29 08:29:59,R_42m1P1MetLsSodN,,,,,52.5353,13.4245,anonymous,EN,agree to participate in this study.,A real car,Both equally,A real car,Both equally,Size in relation to other objects,A toy car,Object,A toy car,Object,Details on the (toy) car,A toy car,Object,A toy car,Both equally,Details on the (toy) car,A toy car,Object,A toy car,Object,Details on the (toy) car,A toy car,Object,A toy car,Surrounding (Environment around the car),Context/environment in which the (toy) car can be seen,A real car,Both equally,A real car,Object,Size in relation to other objects
